Gender German,Noun German,English US,Difficulty,Topic,German,Rule Ending
der,Film,film,B,The arts,der Film,
der,Finger,finger,B,Health,der Finger,Tiger
das,Fingerchen,tiny finger,A,Conceptional,das Fingerchen,Häuschen
der,Fingernagel,fingernail,B,Health,der Fingernagel,Büffel
die,Firma,company,B,Work,die Firma,
der,Fisch,fish,B,Animals,der Fisch,
das,Fitnesscenter,fitness centre,A,Leisure,das Fitnesscenter,Tiger
die,Flagge,flag,M,Society,die Flagge,Giraffe
der,Flamingo,flamingo,B,Animals,der Flamingo,Foto
die,Flamme,flame,A,Science,die Flamme,Giraffe
die,Flasche,bottle,B,Food,die Flasche,Giraffe
der,Fleck,stain,M,Food,der Fleck,Dreck
die,Fledermaus,bat,A,Animals,die Fledermaus,
das,Fleisch,meat,M,Food,das Fleisch,
die,Fliese,tile,A,House,die Fliese,Giraffe
die,Flotte,fleet,M,Transportation,die Flotte,Giraffe
der,Fluch,curse,A,Conceptional,der Fluch,Bauch
die,Flucht,escape,M,Conceptional,die Flucht,
der,Flüchtling,refugee,A,Society,der Flüchtling,
der,Flug,flight,M,Transportation,der Flug,
der,Flügel,wing,A,Animals,der Flügel,Büffel
der,Flughafen,airport,M,Transportation,der Flughafen,Schinken
das,Flugzeug,airplane,B,Transportation,das Flugzeug,
der,Flur,hallway,A,House,der Flur,Natur
der,Fluss,river,B,Nature,der Fluss,
die,Flüssigkeit,liquid,A,Science,die Flüssigkeit,Langsamkeit
das,Flüstern,whisper,M,Conceptional,das Flüstern,
das,Fohlen,foal,M,Animals,das Fohlen,Häuschen
der,Föhn,foehn,A,Nature,der Föhn,
die,Form,shape,B,Science,die Form,
die,Forschung,research,A,Science,die Forschung,Kleidung
der,Fortschritt,progress,M,Psychology,der Fortschritt,
das,Foto,photo,B,Leisure,das Foto,Foto
der,Fotograf,photographer,M,Work,der Fotograf,
die,Fotografie,photograph,B,The arts,die Fotografie,Giraffe
die,Fracht,freight,B,Transportation,die Fracht,
die,Frage,question,B,Psychology,die Frage,Giraffe
die,Frage,question ,A,Education,die Frage,Giraffe
das,Fragment,fragment,B,The arts,das Fragment,Monument
das,Französisch,French (language),B,Education,das Französisch,
die,Frau,woman,B,Family,die Frau,Giraffe
das,Fräulein,young lady,A,Conceptional,das Fräulein,Häuschen
die,Freiheit,freedom,B,Psychology,die Freiheit,Langsamkeit
der,Freitag,Friday,B,Time,der Freitag,Schlag
der,Fremde,stranger,A,Society,der Fremde,Giraffe
die,Freude,joy,M,Psychology,die Freude,Giraffe
der,Freund,friend,B,Society,der Freund,Hund
die,Freundin,friend (female),M,Family,die Freundin,Königin
die,Freundschaft,friendship,M,Family,die Freundschaft,Mutterschaft
der,Frieden,peace,B,Conceptional,der Frieden,Schinken
der,Friedhof,cemetery,A,Society,der Friedhof,
die ,Frisörin,hair stylist (female),A,Work,die Frisörin,Königin
die,Frisur,hairstyle,M,Health,die Frisur,Natur
die,Fröhlichkeit,happiness,A,Psychology,die Fröhlichkeit,Langsamkeit
der,Frosch,frog,M,Animals,der Frosch,
der,Frost,frost,M,Nature,der Frost,
der,Frühling,Spring,A,Time,der Frühling,
das,Frühstück,breakfast,M,Food,das Frühstück,Dreck
die,Frustration,frustration,M,Psychology,die Frustration,Emotion
der,Fuchs,fox,B,Animals,der Fuchs,
der,Führer,leader,M,Society,der Führer,Tiger
die,Führung,leadership,A,Work,die Führung,Kleidung
der,Fund,find,M,Science,der Fund,Hund
das,Fundament,foundation,B,Conceptional,das Fundament,Monument
die,Funktion,function,B,Work,die Funktion,Emotion
der,Fuß,foot,B,Health,der Fuß,
der,Fußball,football,B,Leisure,der Fußball,Fußball
die ,Fußballerin,footballer (female),M,Work,die Fußballerin,Königin
das,Futter,feed,M,Animals,das Futter,Tiger
das,Futur,future,B,Time,das Futur,Natur
die,Gabel,fork,M,Food,die Gabel,Büffel
die,Galerie,gallery,B,The arts,die Galerie,Giraffe
der,Gang,hallway,A,House,der Gang,
die,Gans,goose,M,Animals,die Gans,
die,Garage,garage,B,House,die Garage,Giraffe
die,Gardine,curtain,M,House,die Gardine,Giraffe
der,Garten,garden,B,House,der Garten,Schinken
die,Gärtnerin,gardener (female),M,Work,die Gärtnerin,Königin
das,Gas,gas,B,Science,das Gas,
die,Gasse,alley,A,Society,die Gasse,Giraffe
der,Gast,guest,B,Society,der Gast,
der,Gastgeber,host,A,Leisure,der Gastgeber,Tiger
das,Gasthaus,inn,B,Transportation,das Gasthaus,
der,Gasthof,inn,B,Transportation,der Gasthof,
das,Gebäck,Baked good,A,Food,das Gebäck,Dreck
das,Gebäude,building,B,House,das Gebäude,Giraffe
das,Gebet,prayer,B,Society,das Gebet,
das,Gebiet,region,B,Nature,das Gebiet,
das,Gebirge,mountain,A,Nature,das Gebirge,Giraffe
der,Gebrauch,use,A,Society,der Gebrauch,Bauch
das,Gebrüll,roar,M,Society,das Gebrüll,
die,Gebühr,fee,A,Society,die Gebühr,
die,Geburt,birth,M,Science,die Geburt,
der,Geburtstag,birthday,M,Leisure,der Geburtstag,Schlag
das,Gedächtnis,memory,M,Health,das Gedächtnis,
der,Gedanke,thought,A,Psychology,der Gedanke,Giraffe
das,Gedicht,poem,A,The arts,das Gedicht,
die,Geduld,patience,M,Psychology,die Geduld,
die,Gefahr,danger,M,Psychology,die Gefahr,
der,Gefangene,prisoner,M,Society,der Gefangene,Giraffe
das,Gefängnis,prison,A,Society,das Gefängnis,
das,Gefühl,feeling,M,Psychology,das Gefühl,
der,Gegenangriff,counterattack ,A,Military,der Gegenangriff,
der,Gegenpol,antithesis,M,Psychology,der Gegenpol,
der,Gegenstand,object,A,Conceptional,der Gegenstand,Hund
die,Gegenwart,present ,A,Time,die Gegenwart,
das,Geheimnis,secret,B,Psychology,das Geheimnis,
das,Gehen,walking,A,Transportation,das Gehen,
das,Gehirn,brain,B,Health,das Gehirn,
die,Geisel,hostage,A,Society,die Geisel,Büffel
der,Geist,spirit,A,Psychology,der Geist,
das,Gelächter,laughter,M,Leisure,das Gelächter,Tiger
das,Geländer,railing,A,House,das Geländer,Tiger
das ,Gelb,yellow,M,Education,das  Gelb,
das,Geld,money,B,Shopping,das Geld,
der,Geldbeutel,wallet,A,Shopping,der Geldbeutel,Büffel
die,Gelegenheit,occasion,M,Conceptional,die Gelegenheit,Langsamkeit
das,Gelenk,joint,A,Health,das Gelenk,
das,Gemälde,painting,A,The arts,das Gemälde,Giraffe
die,Gemeinde,community,B,Society,die Gemeinde,Giraffe
das,Gemüse,vegetable,M,Food,das Gemüse,Giraffe
das,Gen,gene,M,Science,das Gen,Schinken
die,Generation,generation,M,Society,die Generation,Emotion
die,Genetik,genetics,M,Science,die Genetik,Musik
das,Genie,genius,M,Psychology,das Genie,Giraffe
der ,Genosse,comrade,A,Education,der  Genosse,Tiger
der,Gentleman,gentleman,M,Society,der Gentleman,
der,Genuss,enjoyment,A,Psychology,der Genuss,
das,Gepäck,luggage,B,Transportation,das Gepäck,Dreck
das,Gerät,device,B,Work,das Gerät,
das,Geräusch,noise,A,Conceptional,das Geräusch,
das,Gericht,dish / court,M,Food,das Gericht,
der,Geruch,odor,M,Health,der Geruch,Bauch
das,Gerücht,rumor,A,Society,das Gerücht,
das,Geschäft,store / business,B,Shopping,das Geschäft,
der,Geschäftsführer,managing director,A,Work,der Geschäftsführer,Tiger
das,Geschenk,gift,B,Leisure,das Geschenk,
die,Geschichte,history / story,M,Education,die Geschichte,Giraffe
das,Geschlecht,gender,M,Health,das Geschlecht,
der,Geschmack,taste,M,Food,der Geschmack,Dreck
die,Geschwindigkeit,speed,A,Transportation,die Geschwindigkeit,Langsamkeit
die,Gesellschaft,society,A,Society,die Gesellschaft,Mutterschaft
das,Gesetz,law,A,Society,das Gesetz,
das,Gesicht,face,M,Health,das Gesicht,
das,Gespenst,ghost,M,Education,das Gespenst,
das,Gespräch,talk,B,Society,das Gespräch,
die,Geste,gesture,M,The arts,die Geste,Giraffe
die,Gesundheit,health,B,Health,die Gesundheit,Langsamkeit
das,Getränk,drink,A,Food,das Getränk,
das,Getreide,grain,A,Nature,das Getreide,Giraffe
das,Getriebe,gear,M,Transportation,das Getriebe,Giraffe
die,Gewalt,violence,A,Society,die Gewalt,
das,Gewehr,rifle,A,Military,das Gewehr,
das,Gewicht,weight,A,Health,das Gewicht,
der,Gewinn,profit,A,Society,der Gewinn,
das,Gewissen,conscience,A,Psychology,das Gewissen,Schinken
das,Gewitter,thunderstorm,A,Nature,das Gewitter,Tiger
das,Gewürz,spice,A,Food,das Gewürz,
das,Gift,poison,A,Health,das Gift,
der,Gigant,giant,M,Education,der Gigant,Elefant
der ,Gin,gin,M,Food,der  Gin,
der ,Gipfel,summit,M,Nature,der Gipfel,Büffel
die,Gitarre,guitar,M,The arts,die Gitarre,Giraffe
der,Glanz,gloss,A,Conceptional,der Glanz,
das,Glas,glass,B,House,das Glas,
der,Glaube,faith,A,Society,der Glaube,Giraffe
das,Glied,limb,A,Health,das Glied,
der,Globus,globe,M,Nature,der Globus,
die,Glocke,bell,A,House,die Glocke,Giraffe
das,Glück,luck,B,Psychology,das Glück,Dreck
die,Glühbirne,light bulb,B,House,die Glühbirne,Giraffe
das,Glühen,glow,A,Nature,das Glühen,
die,Gnade,grace,M,Society,die Gnade,Giraffe
das,Gold,gold,M,Nature,das Gold,
der,Gorilla,gorilla,B,Animals,der Gorilla,
die,Gotik,gothic,B,The arts,die Gotik,Musik
der,Gott,God,B,Society,der Gott,
der,Gouverneur,governor,M,Society,der Gouverneur,
das,Grab,grave,A,Society,das Grab,
der,Graben,ditch,A,Nature,der Graben,Schinken
der,Grad,degree,M,Nature,der Grad,
der,Graf,count,A,Society,der Graf,
die,Grafik,graphics,M,The arts,die Grafik,Musik
die,Grammatik,grammar,M,Education,die Grammatik,Musik
die,Granate,grenade ,M,Military,die Granate,Giraffe
die ,Graphikerin,graphic designer (female),M,Work,die Graphikerin,Königin
das,Gras,grass,B,Nature,das Gras,
der,Grat,ridge,A,Nature,der Grat,
das,Grau,gray,B,Conceptional,das Grau,
die,Grenze,border,A,Society,die Grenze,Giraffe
der,Griff,grip,M,Leisure,der Griff,
das,Grinsen,grin,A,Psychology,das Grinsen,
die,Größe,size,B,Conceptional,die Größe,Giraffe
die,Großmutter,grandmother,M,Family,die Großmutter,Tiger
der,Großvater,grandfather,M,Family,der Großvater,Tiger
die,Grube,pit,M,Work,die Grube,Giraffe
das,Grün,green,M,The arts,das Grün,
der,Grund,reason,M,Psychology,der Grund,Hund
die,Grundlage,base,A,Society,die Grundlage,Giraffe
die,Grundschule,primary school ,A,Education,die Grundschule,Giraffe
die,Gründung,foundation,A,Society,die Gründung,Kleidung
die,Gruppe,group,B,Society,die Gruppe,Giraffe
die,Gunst,favor,A,Conceptional,die Gunst,
der,Gurt,belt,M,Shopping,der Gurt,
die,Güte,goodness,B,Psychology,die Güte,Giraffe
das,Gymnasium,high school ,M,Society,das Gymnasium,Museum
das,Gymnasium,high school ,M,Education,das Gymnasium,Museum
das,Haar,hair,B,Health,das Haar,
der,Haartrockner,hair dryer,M,House,der Haartrockner,Tiger
der,Habicht,hawk,A,Animals,der Habicht,
der,Hafen,harbor,M,Transportation,der Hafen,Schinken
der,Hahn,cock,B,Animals,der Hahn,
der,Haken,hook,A,House,der Haken,Schinken
der,Halbbruder,half-brother ,B,Family,der Halbbruder,Tiger
die,Halbschwester,half-sister,B,Family,die Halbschwester,Tiger
die,Hälfte,half,B,Science,die Hälfte,Giraffe
die,Halle,hall,B,House,die Halle,Giraffe
der,Hals,neck,M,Health,der Hals,
die,Halskette,necklace,M,Shopping,die Halskette,Giraffe
der,Halt,stop,B,Transportation,der Halt,
der,Hammer,hammer,M,Work,der Hammer,Tiger
die,Hand,hand,B,Health,die Hand,Hund
der,Handel,trade,A,Work,der Handel,Büffel
das,Handgelenk,wrist,A,Health,das Handgelenk,
der,Händler,trader,B,Work,der Händler,Tiger
die,Handlung,act,A,Conceptional,die Handlung,Kleidung
der,Handschuh,glove,A,Shopping,der Handschuh,
das,Handtuch,towel,A,House,das Handtuch,Bauch
die,Handvoll,handful,M,Health,die Handvoll,
das,Handwerk,craft,B,Work,das Handwerk,
das,Handwerk,craft,A,The arts,das Handwerk,
der,Hase,rabbit,M,Animals,der Hase,Giraffe
der,Haufen,heap,A,Conceptional,der Haufen,Schinken
das,Haus,house,B,House,das Haus,
die,Hausaufgabe,homework ,A,Education,die Hausaufgabe,Giraffe
der,Haushalt,household,B,House,der Haushalt,
der,Hausschuh,slipper,A,Shopping,der Hausschuh,
das,Haustier,pet,A,House,das Haustier,Tiger
die,Haut,skin,B,Health,die Haut,
der,Hebel,lever,A,Work,der Hebel,Büffel
die,Heilige,saint,A,Society,die Heilige,Giraffe
der,Held,hero,M,The arts,der Held,
der,Helm,helmet,M,Leisure,der Helm,
der,Helm,helmet ,M,Military,der Helm,
das,Hemd,shirt,B,Shopping,das Hemd,
das,Hemdchen,little shirt,A,Shopping,das Hemdchen,Häuschen
die,Herausforderung,challenge,B,Psychology,die Herausforderung,Kleidung
der,Herbst,autumn,A,Time,der Herbst,
der,Herd,stove,M,House,der Herd,
die,Herde,herd,B,Animals,die Herde,Giraffe
der,Hering,hering,M,Food,der Hering,
der,Herr,gentleman,B,Society,der Herr,
die,Herrlichkeit,magnificence,A,Conceptional,die Herrlichkeit,Langsamkeit
das,Herz,heart,B,Health,das Herz,
die,Herzkammer,ventricle,A,Science,die Herzkammer,Tiger
der,Herzog,duke,M,Society,der Herzog,
die,Hexe,witch,A,Education,die Hexe,Giraffe
die,Hilfe,help,B,Society,die Hilfe,Giraffe
die ,Himbeere,raspberry,A,Food,die  Himbeere,Giraffe
der,Himmel,sky,B,Nature,der Himmel,Büffel
das,Hindernis,obstacle ,A,Military,das Hindernis,
der,Hintergrund,background,M,The arts,der Hintergrund,Hund
der,Hinweis,clue,A,Conceptional,der Hinweis,
der,Hirt,shepherd,A,Work,der Hirt,
die,Hitze,heat,M,Science,die Hitze,Giraffe
das,Hochwasser,flood,A,Nature,das Hochwasser,Tiger
die,Hochzeit,wedding,A,Family,die Hochzeit,
der,Hof,yard,B,House,der Hof,
die,Hoffnung,hope,A,Psychology,die Hoffnung,Kleidung
die,Höhe,height,B,Science,die Höhe,Giraffe
die,Höhle,cave,M,Nature,die Höhle,Giraffe
die ,Holding,holding,B,Work,die  Holding,Marketing
die,Hölle,hell,B,Society,die Hölle,Giraffe
das,Holz,wood,B,Nature,das Holz,
die,Holzkohle,charcoal ,A,The arts,die Holzkohle,Giraffe
der,Honig,honey,M,Food,der Honig,König
der,Horizont,horizon,A,Nature,der Horizont,
das,Horn,horn,A,Animals,das Horn,
der,Horror,horror,A,Psychology,der Horror,Alligator
das,Höschen,panties,M,Shopping,das Höschen,Häuschen
die,Hose,trousers,B,Shopping,die Hose,Giraffe
das,Hotel,hotel,M,Transportation,das Hotel,Büffel
der,Hubschrauber,helicopter,M,Transportation,der Hubschrauber,Tiger
die,Hüfte,hip,M,Health,die Hüfte,Giraffe
der,Hügel,hill,B,Nature,der Hügel,Büffel
das,Huhn,chicken,A,Food,das Huhn,
die,Hülse,pod,A,Nature,die Hülse,Giraffe
der,Humor,humor,M,Psychology,der Humor,Alligator
der,Hund,dog,B,Animals,der Hund,Hund
der,Hunger,hunger,B,Health,der Hunger,Tiger
der,Hurrikan,hurricane ,A,Nature,der Hurrikan,
der,Hut,hat,A,Shopping,der Hut,
die,Hütte,hut,M,House,die Hütte,Giraffe
die,Idee,idea,B,Psychology,die Idee,Giraffe
die,Identität,identity,B,Psychology,die Identität,Antiquität
der,Igel,hedgehog,A,Animals,der Igel,Büffel
die,Illusion,illusion,B,Psychology,die Illusion,Emotion
das,Image,image,B,Society,das Image,Giraffe
die,Imagination,imagination,B,Psychology,die Imagination,Emotion
der,Immigrant,immigrant,B,Society,der Immigrant,Elefant
der,Impuls,impulse,B,Psychology,der Impuls,
die,Info,information ,B,Work,die Info,Foto
die,Information,information,B,Psychology,die Information,Emotion
der,Ingenieur,engineer,M,Work,der Ingenieur,
der,Inhalt,content,B,Conceptional,der Inhalt,
der,Innenraum,interior,M,House,der Innenraum,
das,Insekt,insect,B,Animals,das Insekt,
die,Insel,island,B,Nature,die Insel,Büffel
der,Inspektor,inspector,M,Work,der Inspektor,Alligator
der,Instinkt,instinct,B,Psychology,der Instinkt,
das,Instrument,instrument,B,The arts,das Instrument,Monument
die,Intelligenz,intelligence,B,Psychology,die Intelligenz,Eleganz
die,Intensität,intensity,B,Conceptional,die Intensität,Antiquität
die,Interesse,interest,B,Psychology,die Interesse,Giraffe
das,Internet,Internet,B,Work,das Internet,
das,Interview,interview,B,Work,das Interview,
die,Intimität,intimacy,B,Psychology,die Intimität,Antiquität
die,Iris,iris,A,Health,die Iris,
die,Jacke,jacket,B,Shopping,die Jacke,Giraffe
die,Jagd,hunt,A,Leisure,die Jagd,
der,Jäger,hunter,A,Work,der Jäger,Tiger
das,Jahr,year,M,Time,das Jahr,
die,Jahreszeit,season,A,Time,die Jahreszeit,
das,Jahrhundert,century,A,Time,das Jahrhundert,
das,Jahrzehnt,decade,A,Time,das Jahrzehnt,
der,Januar,January,B,Time,der Januar,
das,Japanisch,Japanese (language),M,Education,das Japanisch,
der,Jazz,jazz,B,The arts,der Jazz,
die,Jeans,jeans,B,Shopping,die Jeans,
der,Jeep,Jeep,A,Transportation,der Jeep,
der,Jetlag,jetlag,A,Transportation,der Jetlag,Schlag
das,Jobsharing,job sharing,A,Work,das Jobsharing,Marketing
das,Jogging,jogging,B,Leisure,das Jogging,Marketing
das,Journal,journal,M,Education,das Journal,Regal
das,Judo,judo,B,Leisure,das Judo,Foto
die,Jugend,youth,M,Society,die Jugend,Hund
der,Juli,July,B,Time,der Juli,
der,Junge,boy,B,Family,der Junge,Giraffe
die,Jungfrau,virgin,M,Society,die Jungfrau,Giraffe
der,Juni,June,B,Time,der Juni,
der,Jupiter,Jupiter,A,Science,der Jupiter,Tiger
die,Jury,jury,M,Society,die Jury,
die,Justiz,justice,B,Society,die Justiz,
das,Kabel,cable,M,Work,das Kabel,Büffel
das,Kabinett,cabinet,M,House,das Kabinett,
der,Käfer,beetle,A,Animals,der Käfer,Tiger
der,Kaffee,coffee,B,Food,der Kaffee,Giraffe
der,Käfig,cage,M,House,der Käfig,König
der,Kaiser,emperor,A,Society,der Kaiser,Tiger
die,Kajüte,cabin,A,House,die Kajüte,Giraffe
der,Kakao,cocoa,B,Food,der Kakao,Foto
das,Kalb,calf,A,Animals,das Kalb,
der,Kalender,calendar ,M,Time,der Kalender,Tiger
das,Kaliber,caliber ,B,Military,das Kaliber,Tiger
der,Kalkulator,calculator,B,Science,der Kalkulator,Alligator
die,Kälte,cold,B,Nature,die Kälte,Giraffe
die,Kamera,camera,B,The arts,die Kamera,
die,Kammer,chamber,M,House,die Kammer,Tiger
die,Kampagne,campaign,M,Society,die Kampagne,Giraffe
der,Kampf,fight,A,Military,der Kampf,
der,Kämpfer,fighter,A,Military,der Kämpfer,Tiger
der,Kanal,canal,M,Society,der Kanal,Regal
die,Kandidatur,candidacy,M,Work,die Kandidatur,Natur
die,Kanone,cannon ,M,Military,die Kanone,Giraffe
die,Kapazität,capacity,M,Science,die Kapazität,Antiquität
die,Kapelle,chapel,M,The arts,die Kapelle,Giraffe
das,Kapital,capital,M,Society,das Kapital,Regal
der,Kapitän,captain,M,Work,der Kapitän,
das,Kapitel,chapter,A,The arts,das Kapitel,Büffel
die,Kappe,cap,M,Shopping,die Kappe,Giraffe
die,Kapsel,capsule,M,Food,die Kapsel,Büffel
der,Kardinal,cardinal,M,Conceptional,der Kardinal,Regal
der,Karneval,carnival,B,Leisure,der Karneval,Regal
die,Karriere,career,M,Work,die Karriere,Giraffe
die,Karte,map,B,Transportation,die Karte,Giraffe
die,Kartoffel,potato,B,Food,die Kartoffel,Büffel
der,Käse,cheese,B,Food,der Käse,Giraffe
das,Kasino,casino,B,Leisure,das Kasino,Foto
der,Kasten,box,M,Science,der Kasten,Schinken
die,Katze,cat,B,Animals,die Katze,Giraffe
der,Keller,basement,A,House,der Keller,Tiger
der,Kellner,waiter,A,Work,der Kellner,Tiger
die,Kellnerin,waitress ,A,Work,die Kellnerin,Königin
der,Kerl,guy,B,Society,der Kerl,
der,Kern,core,M,Science,der Kern,
die,Kerze,candle,A,House,die Kerze,Giraffe
der,Kessel,kettle,A,Food,der Kessel,Büffel
die,Kette,chain,A,Work,die Kette,Giraffe
der,Kick,kick,M,Leisure,der Kick,Dreck
der,Kies,gravel,A,Nature,der Kies,
das,Kilo,kilogram,B,Conceptional,das Kilo,Foto
das,Kind,child,B,Family,das Kind,Hund
die,Kindheit,childhood,A,Family,die Kindheit,Langsamkeit
das,Kinn,chin,A,Health,das Kinn,
das,Kino,cinema ,A,Leisure,das Kino,Foto
die,Kirche,church,B,Society,die Kirche,Giraffe
die,Kirsche,cherry,B,Food,die Kirsche,Giraffe
das,Kissen,pillow,M,House,das Kissen,Schinken
die,Kiste,box,B,Conceptional,die Kiste,Giraffe
die ,Kiwi ,kiwi,B,Food,die  Kiwi ,
die,Klage,complaint,B,Society,die Klage,Giraffe
der,Klang,sound,A,The arts,der Klang,
die,Klasse,class,B,Education,die Klasse,Giraffe
das,Klassenzimmer,classroom,M,Education,das Klassenzimmer,Tiger
die,Klassik,classic,B,The arts,die Klassik,Musik
die,Klaue,claw,A,Animals,die Klaue,Giraffe
das,Klavier,piano,M,The arts,das Klavier,Tiger
das,Kleid,dress,B,Shopping,das Kleid,
die,Kleidung,clothing,B,Leisure,die Kleidung,Kleidung
der,Klick,click,B,Work,der Klick,Dreck
die,Klinge,blade,A,Military,die Klinge,Giraffe
die,Klinik,clinic,M,Health,die Klinik,Musik
die,Klippe,cliff,A,Nature,die Klippe,Giraffe
der,Knabe,boy,A,Society,der Knabe,Giraffe
das,Knie,knee,B,Health,das Knie,Giraffe
der,Knoblauch,garlic,A,Food,der Knoblauch,Bauch
der,Knöchel,ankle,M,Health,der Knöchel,Büffel
der,Knochen,bone,M,Health,der Knochen,Schinken
der,Knödel,dumpling,A,Food,der Knödel,Büffel
der,Knopf,button,A,Shopping,der Knopf,
die,Knospe,bud,M,Nature,die Knospe,Giraffe
der,Knoten,knot,M,Leisure,der Knoten,Schinken
die,Koalition,coalition ,B,Society,die Koalition,Emotion
der,Koch,cook,B,Work,der Koch,
das,Kochen,cooking,M,Food,das Kochen,
die ,Köchin,cook (female),M,Work,die Köchin,Königin
der,Koffer,suitcase,M,Transportation,der Koffer,Tiger
der,Kofferraum,trunk,M,Transportation,der Kofferraum,
der,Kohl,cabbage,B,Nature,der Kohl,
der,Kollege,colleague,M,Work,der Kollege,Giraffe
die,Kolonie,colony,M,Society,die Kolonie,Giraffe
die,Kolumne,column,A,Science,die Kolumne,Giraffe
die,Kombination,combination,B,Conceptional,die Kombination,Emotion
der,Komet,comet,A,Science,der Komet,
der,Komfort,comfort,M,Conceptional,der Komfort,
das,Komitee,committee,M,Society,das Komitee,Giraffe
der,Kommandant,commander,M,Military,der Kommandant,Elefant
der,Kommentar,comment,B,Society,der Kommentar,
die,Kommode,dresser,A,House,die Kommode,Giraffe
die,Kommunikation,communication,B,Leisure,die Kommunikation,Emotion
der ,Komödiant,comedian,M,Work,der Komödiant,Elefant
der,Kompass,compass ,B,Transportation,der Kompass,
das,Kompliment,compliment,M,Conceptional,das Kompliment,Monument
die,Konferenz,conference,B,Work,die Konferenz,Eleganz
der,König,king,M,Society,der König,König
die,Königin,queen,M,Society,die Königin,Königin
das,Können,ability,A,Psychology,das Können,
die,Konsequenz,consequence,B,Psychology,die Konsequenz,Eleganz
der,Konsonant,consonant ,M,Education,der Konsonant,Elefant
die,Konstruktion,construction,B,Work,die Konstruktion,Emotion
der,Konsum,consumption,M,Shopping,der Konsum,Museum
der,Konsument,consumer,M,Shopping,der Konsument,Monument
der,Kontakt,contact,B,Society,der Kontakt,
der,Kontinent,continent,B,Society,der Kontinent,
das,Konto,account,B,Work,das Konto,Foto
die,Kontrolle,control,B,Psychology,die Kontrolle,Giraffe
der,Kontrollpunkt,checkpoint ,M,Military,der Kontrollpunkt,
die,Konzentration,concentration,B,Psychology,die Konzentration,Emotion
das,Konzept,concept,B,Psychology,das Konzept,
das,Konzert,concert,M,The arts,das Konzert,
der,Kopf,head,M,Health,der Kopf,
der,Kopfschmerz,headache,B,Health,der Kopfschmerz,
die,Kopie,copy,M,Work,die Kopie,Giraffe
der,Korb,basket,M,Shopping,der Korb,
das,Korn,grain,A,Food,das Korn,
der,Körper,body,A,Health,der Körper,Tiger
der,Korridor,corridor,A,House,der Korridor,Alligator
das,Kostüm,costume,M,Shopping,das Kostüm,
die,Kraft,force,B,Science,die Kraft,
der,Kraftstoff,fuel,B,Transportation,der Kraftstoff,
der,Kragen,collar,A,Shopping,der Kragen,Schinken
die,Krähe,crow,A,Animals,die Krähe,Giraffe
der,Kran,crane,A,Work,der Kran,
das,Krankenhaus,hospital,B,Health,das Krankenhaus,
die,Krankenschwester,nurse,A,Work,die Krankenschwester,Tiger
der,Krankenwagen,ambulance,A,Transportation,der Krankenwagen,Schinken
die,Krankheit,illness,A,Health,die Krankheit,Langsamkeit
der,Kranz,wreath ,A,Society,der Kranz,
das,Kraut,herb,M,Nature,das Kraut,
die,Kreation,creation,A,Psychology,die Kreation,Emotion
die,Kreatur,creature,B,Education,die Kreatur,Natur
der,Krebs,crab,A,Animals,der Krebs,
der,Kredit,credit,M,Work,der Kredit,
die,Kreide,chalk ,A,Science,die Kreide,Giraffe
der,Kreis,circle,A,Science,der Kreis,
das,Kreuz,cross,A,Society,das Kreuz,
der,Krieg,war,A,Military,der Krieg,
der,Krieger,warrior,A,Military,der Krieger,Tiger
der,Kriminelle,criminal (male),M,Society,der Kriminelle,Giraffe
die,Krise,crisis,M,Society,die Krise,Giraffe
der,Kristall,crystal,M,Science,der Kristall,Fußball
die,Krone,crown,B,Society,die Krone,Giraffe
die,Küche,kitchen,B,House,die Küche,Giraffe
der,Kuchen,cake,A,Food,der Kuchen,Schinken
die,Kugel,ball,M,Conceptional,die Kugel,Büffel
die,Kugel,bullet ,A,Military,die Kugel,Büffel
die,Kuh,cow,M,Animals,die Kuh,
der,Kühlschrank,refrigerator,A,House,der Kühlschrank,
das,Küken,chick,M,Animals,das Küken,Häuschen
die,Kultur,culture,B,The arts,die Kultur,Natur
der,Kunde,customer,B,Shopping,der Kunde,Giraffe
die,Kundin,customer (female),B,Shopping,die Kundin,Königin
die,Kunst,art,M,The arts,die Kunst,
der,Künstler,artist,A,The arts,der Künstler,Tiger
der,Kunststoff,plastic,A,Science,der Kunststoff,
das,Kupfer,copper,A,Science,das Kupfer,Tiger
die,Kuppel,dome,A,The arts,die Kuppel,Büffel
die,Kur,treatment,A,Health,die Kur,Natur
der,Kurs,course,B,Education,der Kurs,
die,Kurve,curve,M,Science,die Kurve,Giraffe
der,Kuss,kiss,M,Psychology,der Kuss,
die,Küste,coast,M,Nature,die Küste,Giraffe
das,Labor,lab,M,Work,das Labor,Alligator
das,Lächeln,smile,B,Psychology,das Lächeln,
der,Laden,shop,B,Shopping,der Laden,Schinken
die,Ladung,load,M,Transportation,die Ladung,Kleidung
das,Lagerhaus,warehouse,M,Work,das Lagerhaus,
das,Laken,sheet,A,House,das Laken,Schinken
das,Lamm,lamb,B,Animals,das Lamm,Häuschen
die,Lampe,lamp,B,House,die Lampe,Giraffe
das,Land,country / land,B,Nature,das Land,Hund
die,Landschaft,landscape,B,Nature,die Landschaft,Mutterschaft
die,Landung,landing,M,Transportation,die Landung,Kleidung
die,Länge,length,B,Science,die Länge,Giraffe
der,Lappen,cloth,A,House,der Lappen,Schinken
die,Last,load,B,Work,die Last,
